dataset,method,K,latent_dim,n_samples,n_features,inertia,silhouette,davies_bouldin,calinski_harabasz,kmeans_time,autoencoder_time,total_time,n_features_tested
iris,KMeans normal,2,,150,2,58.20409278906673,0.46295497736359775,0.7890332893688392,183.7694433731289,0.006097316741943359,0.0,0.006097316741943359,2
iris,KMeans normal,3,,150,2,37.08627024722932,0.4423725704138864,0.7661594625698523,185.0844312752489,0.0036203861236572266,0.0,0.0036203861236572266,2
iris,KMeans normal,4,,150,2,28.257046578631456,0.41981745373046747,0.7845056600831553,176.04883194149156,0.005168437957763672,0.0,0.005168437957763672,2
iris,KMeans normal,5,,150,2,23.847904849119136,0.3999685729940116,0.783392279035198,162.0788866083082,0.005872249603271484,0.0,0.005872249603271484,2
iris,KMeans normal,6,,150,2,17.463509575220105,0.3901380642183857,0.8127475466935018,186.3736833775946,0.004799365997314453,0.0,0.004799365997314453,2
iris,KMeans normal,7,,150,2,16.084452675807164,0.382328152362333,0.7954574100559267,169.499979580665,0.004290103912353516,0.0,0.004290103912353516,2
iris,Autoencoder + KMeans++,2,1.0,150,2,319.81317138671875,0.5825467705726624,0.5557566569789911,221.95437622070312,0.02140355110168457,1.1865220069885254,1.20792555809021,2
iris,Autoencoder + KMeans++,3,1.0,150,2,161.68690490722656,0.5718653202056885,0.5445086376218999,289.9086608886719,0.021006345748901367,1.1865220069885254,1.2075283527374268,2
iris,Autoencoder + KMeans++,4,1.0,150,2,107.55854797363281,0.5691388845443726,0.5854034662757915,313.05084228515625,0.025150537490844727,1.1865220069885254,1.2116725444793701,2
iris,Autoencoder + KMeans++,5,1.0,150,2,63.92027282714844,0.5883796215057373,0.540926561216412,417.1195068359375,0.02378988265991211,1.1865220069885254,1.2103118896484375,2
iris,Autoencoder + KMeans++,6,1.0,150,2,45.95777893066406,0.583036482334137,0.46598562053170495,472.17529296875,0.021187305450439453,1.1865220069885254,1.2077093124389648,2
iris,Autoencoder + KMeans++,7,1.0,150,2,34.4892578125,0.5523998141288757,0.4951388259495079,528.6049194335938,0.02149343490600586,1.1865220069885254,1.2080154418945312,2
iris,KMeans normal,2,,150,3,133.46431822602605,0.6845068276143206,0.4015754249056635,511.5807766206412,0.0020067691802978516,0.0,0.0020067691802978516,3
iris,KMeans normal,3,,150,3,69.44196666666667,0.5521327557439433,0.6541091684515267,556.0594882825417,0.0020825862884521484,0.0,0.0020825862884521484,3
iris,KMeans normal,4,,150,3,49.43781558441558,0.5083197879231267,0.7114330020643584,536.8560841990251,0.0015709400177001953,0.0,0.0015709400177001953,3
iris,KMeans normal,5,,150,3,44.53051045621046,0.4554281314038881,0.9713549337356499,447.9466540641705,0.0017952919006347656,0.0,0.0017952919006347656,3
iris,KMeans normal,6,,150,3,37.207444222444224,0.33709268042306967,1.0417239191587706,431.5987067100595,0.0025246143341064453,0.0,0.0025246143341064453,3
iris,KMeans normal,7,,150,3,29.28253504828505,0.36532237268791234,0.9205233915110699,460.2805773024804,0.002552032470703125,0.0,0.002552032470703125,3
iris,Autoencoder + KMeans++,2,2.0,150,3,408.73419189453125,0.42282339930534363,0.9071976056603667,89.4571304321289,0.021225929260253906,1.0909109115600586,1.1121368408203125,3
iris,Autoencoder + KMeans++,3,2.0,150,3,249.33421325683594,0.4446525573730469,0.7897329229875139,119.8169174194336,0.022107601165771484,1.0909109115600586,1.11301851272583,3
iris,Autoencoder + KMeans++,4,2.0,150,3,185.2018280029297,0.43609002232551575,0.828257613384864,123.65930938720703,0.023850440979003906,1.0909109115600586,1.1147613525390625,3
iris,Autoencoder + KMeans++,5,2.0,150,3,148.8961181640625,0.4227374196052551,0.8049653520057678,123.40740203857422,0.024343252182006836,1.0909109115600586,1.1152541637420654,3
iris,Autoencoder + KMeans++,6,2.0,150,3,120.27371215820312,0.43122223019599915,0.7330584608494647,128.23129272460938,0.026170730590820312,1.0909109115600586,1.117081642150879,3
iris,Autoencoder + KMeans++,7,2.0,150,3,93.87945556640625,0.4386014938354492,0.68182787925854,142.65304565429688,0.04035639762878418,1.0909109115600586,1.1312673091888428,3
iris,KMeans normal,2,,150,4,152.34795176035792,0.6810461692117462,0.40429283717304343,513.9245459802768,0.0036301612854003906,0.0,0.0036301612854003906,4
iris,KMeans normal,3,,150,4,78.85144142614601,0.5528190123564095,0.6619715465007465,561.62775662962,0.0022406578063964844,0.0,0.0022406578063964844,4
iris,KMeans normal,4,,150,4,57.38387326549491,0.49535632852884987,0.763894658536336,529.1966593804771,0.002521514892578125,0.0,0.002521514892578125,4
iris,KMeans normal,5,,150,4,46.47223015873016,0.49308040671935205,0.8193844948350408,495.24341371472735,0.0024585723876953125,0.0,0.0024585723876953125,4
iris,KMeans normal,6,,150,4,39.066035353535355,0.36784649847122436,0.9257700719826135,473.51545388247666,0.001993417739868164,0.0,0.001993417739868164,4
iris,KMeans normal,7,,150,4,34.42167424242424,0.35439644785886476,0.9671603626777701,447.94303986000114,0.0027039051055908203,0.0,0.0027039051055908203,4
iris,Autoencoder + KMeans++,2,3.0,150,4,327.0611572265625,0.5523937940597534,0.6365112741297724,202.62547302246094,0.01987481117248535,1.083733320236206,1.1036081314086914,4
iris,Autoencoder + KMeans++,3,3.0,150,4,207.52890014648438,0.483573317527771,0.8070824075841436,200.92236328125,0.020879268646240234,1.083733320236206,1.1046125888824463,4
iris,Autoencoder + KMeans++,4,3.0,150,4,163.40542602539062,0.4678960144519806,0.7498552078872606,182.1014862060547,0.02254462242126465,1.083733320236206,1.1062779426574707,4
iris,Autoencoder + KMeans++,5,3.0,150,4,130.32627868652344,0.4219949245452881,0.8152795092184661,179.26959228515625,0.024914026260375977,1.083733320236206,1.108647346496582,4
iris,Autoencoder + KMeans++,6,3.0,150,4,104.77507019042969,0.42858532071113586,0.830421154861866,184.1831512451172,0.026967287063598633,1.083733320236206,1.1107006072998047,4
iris,Autoencoder + KMeans++,7,3.0,150,4,83.80518341064453,0.4423309862613678,0.7348723756023967,196.5225372314453,0.0259702205657959,1.083733320236206,1.109703540802002,4
