dataset,method,K,latent_dim,n_samples,n_features,inertia,silhouette,davies_bouldin,calinski_harabasz,kmeans_time,autoencoder_time,total_time,n_samples_tested
iris,KMeans normal,2,,50,4,60.9983367983368,0.6248087333008542,0.49074896295109244,110.30548350726983,0.006468534469604492,0.0,0.006468534469604492,50
iris,KMeans normal,3,,50,4,28.992828571428568,0.5280064418487751,0.6234532505893915,139.56095793146875,0.005797386169433594,0.0,0.005797386169433594,50
iris,KMeans normal,4,,50,4,27.05882857142857,0.4586099923606583,0.534774581659376,98.66547209131988,0.005700111389160156,0.0,0.005700111389160156,50
iris,KMeans normal,5,,50,4,25.953661904761905,0.4315778399515965,0.7568952293812415,75.95202984476548,0.0066699981689453125,0.0,0.0066699981689453125,50
iris,KMeans normal,6,,50,4,21.300595238095237,0.32807338182069,0.9234261574065824,74.3119835014671,0.008593559265136719,0.0,0.008593559265136719,50
iris,KMeans normal,7,,50,4,14.059761904761901,0.39492875564433083,0.7830507291604215,95.37773461358266,0.005503177642822266,0.0,0.005503177642822266,50
iris,Autoencoder + KMeans++,2,3.0,50,4,152.96316528320312,0.5037333369255066,0.7347295252355581,54.20286560058594,0.02249312400817871,0.6644508838653564,0.6869440078735352,50
iris,Autoencoder + KMeans++,3,3.0,50,4,85.60079956054688,0.48038849234580994,0.7311862056603791,65.9126205444336,0.021323204040527344,0.6644508838653564,0.6857740879058838,50
iris,Autoencoder + KMeans++,4,3.0,50,4,61.339778900146484,0.4606145918369293,0.7497650651931471,66.08142852783203,0.024671554565429688,0.6644508838653564,0.6891224384307861,50
iris,Autoencoder + KMeans++,5,3.0,50,4,46.9053955078125,0.4929349422454834,0.6687404283499137,66.86571502685547,0.026613712310791016,0.6644508838653564,0.6910645961761475,50
iris,Autoencoder + KMeans++,6,3.0,50,4,35.652183532714844,0.4802728295326233,0.6610054125678771,71.590576171875,0.02559661865234375,0.6644508838653564,0.6900475025177002,50
iris,Autoencoder + KMeans++,7,3.0,50,4,26.857379913330078,0.4896445572376251,0.6580460995036485,79.7418441772461,0.028810739517211914,0.6644508838653564,0.6932616233825684,50
iris,KMeans normal,2,,100,4,86.36209352209353,0.7207395713650614,0.3537971966919014,420.2396022920663,0.0022912025451660156,0.0,0.0022912025451660156,100
iris,KMeans normal,3,,100,4,44.86725225225225,0.5813516658547848,0.6477030564256878,445.1736514522822,0.0021867752075195312,0.0,0.0021867752075195312,100
iris,KMeans normal,4,,100,4,33.48295486663134,0.5157537184348321,0.7710751522232057,404.46948300146596,0.00397491455078125,0.0,0.00397491455078125,100
iris,KMeans normal,5,,100,4,27.114586179762654,0.5085606990927218,0.8262943906655895,376.27608939300217,0.0019211769104003906,0.0,0.0019211769104003906,100
iris,KMeans normal,6,,100,4,22.193375501551973,0.5303782318335442,0.803761167337238,368.06743255434895,0.0024743080139160156,0.0,0.0024743080139160156,100
iris,KMeans normal,7,,100,4,20.777982644409114,0.51510027918191,0.9198202878993615,325.1873454052452,0.014119863510131836,0.0,0.014119863510131836,100
iris,Autoencoder + KMeans++,2,3.0,100,4,234.20462036132812,0.5818078517913818,0.5864749074385592,176.9424285888672,0.02127838134765625,0.8796694278717041,0.9009478092193604,100
iris,Autoencoder + KMeans++,3,3.0,100,4,155.06362915039062,0.4864616394042969,0.7863796879817037,157.01473999023438,0.021447420120239258,0.8796694278717041,0.9011168479919434,100
iris,Autoencoder + KMeans++,4,3.0,100,4,117.78463745117188,0.46067729592323303,0.7279525919229197,146.5141143798828,0.023149490356445312,0.8796694278717041,0.9028189182281494,100
iris,Autoencoder + KMeans++,5,3.0,100,4,90.77163696289062,0.4247162938117981,0.8071715103034156,148.16929626464844,0.029160737991333008,0.8796694278717041,0.9088301658630371,100
iris,Autoencoder + KMeans++,6,3.0,100,4,75.1922607421875,0.4264475107192993,0.7709966779538625,145.48423767089844,0.028265714645385742,0.8796694278717041,0.9079351425170898,100
iris,Autoencoder + KMeans++,7,3.0,100,4,61.537010192871094,0.45704373717308044,0.7043321494279704,150.0032501220703,0.03275728225708008,0.8796694278717041,0.9124267101287842,100
iris,KMeans normal,2,,150,4,152.3479517603579,0.6810461692117464,0.4042928371730451,513.9245459802769,0.0023910999298095703,0.0,0.0023910999298095703,150
iris,KMeans normal,3,,150,4,78.85566582597731,0.551191604619592,0.6660385791628483,561.593732015664,0.002153635025024414,0.0,0.002153635025024414,150
iris,KMeans normal,4,,150,4,57.25552380952381,0.4972176648710974,0.7776575256491,530.4920530576102,0.0026102066040039062,0.0,0.0026102066040039062,150
iris,KMeans normal,5,,150,4,49.849329004329,0.3719005777828063,0.9136656120633747,459.2367947742089,0.0044667720794677734,0.0,0.0044667720794677734,150
iris,KMeans normal,6,,150,4,42.450143190143194,0.33064241370677505,1.0023720904945124,433.47107390668384,0.005425691604614258,0.0,0.005425691604614258,150
