dataset,method,K,latent_dim,n_samples,n_features,inertia,silhouette,davies_bouldin,calinski_harabasz,kmeans_time,autoencoder_time,total_time
iris,KMeans normal,2,,150,4,152.34795176035792,0.6810461692117462,0.40429283717304343,513.9245459802768,0.005116939544677734,0.0,0.005116939544677734
iris,KMeans normal,3,,150,4,78.85144142614601,0.5528190123564095,0.6619715465007465,561.62775662962,0.004615306854248047,0.0,0.004615306854248047
iris,KMeans normal,4,,150,4,57.38387326549491,0.49535632852884987,0.763894658536336,529.1966593804771,0.006989240646362305,0.0,0.006989240646362305
iris,KMeans normal,5,,150,4,46.47223015873016,0.49308040671935205,0.8193844948350408,495.24341371472735,0.005507469177246094,0.0,0.005507469177246094
iris,KMeans normal,6,,150,4,39.066035353535355,0.36784649847122436,0.9257700719826135,473.51545388247666,0.005649566650390625,0.0,0.005649566650390625
iris,KMeans normal,7,,150,4,34.42167424242424,0.35439644785886476,0.9671603626777701,447.94303986000114,0.0027506351470947266,0.0,0.0027506351470947266
iris,Autoencoder + KMeans++,2,3.0,150,4,298.18475341796875,0.5036612749099731,0.757405019903897,152.74871826171875,0.015785932540893555,1.0257060527801514,1.041491985321045
iris,Autoencoder + KMeans++,3,3.0,150,4,209.13937377929688,0.44528573751449585,0.8955053312635465,139.45066833496094,0.018169641494750977,1.0257060527801514,1.0438756942749023
iris,Autoencoder + KMeans++,4,3.0,150,4,160.40342712402344,0.4425460696220398,0.8123288670296154,135.17567443847656,0.021422624588012695,1.0257060527801514,1.047128677368164
iris,Autoencoder + KMeans++,5,3.0,150,4,114.30012512207031,0.4628402590751648,0.7432948316078607,155.92140197753906,0.019713163375854492,1.0257060527801514,1.0454192161560059
iris,Autoencoder + KMeans++,6,3.0,150,4,94.74272918701172,0.4769386947154999,0.6956095664102752,155.39340209960938,0.02148270606994629,1.0257060527801514,1.0471887588500977
iris,Autoencoder + KMeans++,7,3.0,150,4,75.2559814453125,0.47083964943885803,0.6681061204012052,168.06504821777344,0.020415544509887695,1.0257060527801514,1.046121597290039
